QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,OldBadeaID,Geno,Sex_other,IDStripped,TestDate,Age_Substracted,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling,Unnamed: 28,age
July22cohort,XIX,14,In House,220704-19,HFD,220704_17,220704-17,APOE33HN,female,220704,7/4/22,17,1/6/21,39,9/7/22,20.3,20,1.67,,220704-19:1,,,,,,,HFD,18.1,,18
August22cohort,,1,In House,220808-18,Control,220808_1,220808-1,APOE44HN,male,220808,8/8/22,12,7/12/21,22,10/12/22,15.26666667,15,1.25,,220808-18:1,,,,,,,Control,13.06666667,,13
August22cohort,,2,In House,220808-19,Control,220808_2,220808-2,APOE44HN,male,220808,8/8/22,12,7/12/21,18,10/12/22,15.26666667,15,1.25,,220808-19:1,,,,,,,Control,13.06666667,,13
August22cohort,,3,In House,220808-20,Control,220808_3,220808-3,APOE44HN,male,220808,8/8/22,12,7/12/21,20,10/13/22,15.26666667,15,1.25,,220808-20:1,,,,,,,Control,13.06666667,,13
August22cohort,,4,In House,220808-21,Control,220808_4,220808-4,APOE44HN,male,220808,8/8/22,12,7/12/21,27,10/13/22,15.26666667,15,1.25,,220808-21:1,,,,,,,Control,13.06666667,,13
August22cohort,,5,In House,220808-22,Control,220808_5,220808-5,APOE44HN,male,220808,8/8/22,12,7/12/21,30,10/13/22,15.26666667,15,1.25,,220808-22:1,,,,,,,Control,13.06666667,,13
August22cohort,,6,In House,220808-6,Control,220808_6,220808-6,APOE22HN,female,220808,8/8/22,19,1/6/21,27,10/12/22,21.5,22,1.7,,220808-6:1,,,,,,,Control,19.3,,19
August22cohort,,7,In House,220808-7,Control,220808_7,220808-7,APOE22HN,female,220808,8/8/22,19,1/6/21,24,10/12/22,21.5,22,1.7,,220808-7:1,,,,,,,Control,19.3,,19
August22cohort,,8,In House,220808-8,Control,220808_8,220808-8,APOE22HN,female,220808,8/8/22,19,1/6/21,28,10/12/22,21.5,22,1.7,,220808-8:1,,,,,,,Control,19.3,,19
August22cohort,,9,In House,220808-9,HFD,220808_9,220808-9,APOE22HN,female,220808,8/8/22,17,2/23/21,41,10/5/22,19.3,19,1.59,,220808-9:1,,,,,,,HFD,17.7,,18
August22cohort,,10,In House,220808-10,HFD,220808_10,220808-10,APOE22HN,female,220808,8/8/22,17,2/28/21,25,10/5/22,19.1,19,1.57,,220808-10:1,,,,,,,HFD,17.53333333,,18
August22cohort,,11,In House,220808-11,HFD,220808_11,220808-11,APOE22HN,female,220808,8/8/22,17,2/28/21,39,10/5/22,19.1,19,1.57,,220808-11:1,,,,,,,HFD,17.53333333,,18
August22cohort,,12,In House,220808-12,HFD,220808_12,220808-12,APOE22HN,female,220808,8/8/22,17,2/28/21,32,10/5/22,19.1,19,1.57,,220808-12:1,,,,,,,HFD,17.53333333,,18
August22cohort,,13,In House,220808-13,HFD,220808_13,220808-13,APOE22HN,male,220808,8/8/22,18,1/23/21,37,10/5/22,20.4,20,1.68,,220808-13:1,,,,,,,HFD,18.73333333,,19
August22cohort,,14,In House,220808-14,HFD,220808_14,220808-14,APOE22HN,male,220808,8/8/22,18,1/23/21,49,10/5/22,20.4,20,1.68,,220808-14:1,,,,,,,HFD,18.73333333,,19
August22cohort,,15,In House,220808-15,HFD,220808_15,220808-15,APOE22HN,male,220808,8/8/22,18,1/23/21,47,10/6/22,20.4,20,1.68,,220808-15:1,,,,,,,HFD,18.73333333,,19
August22cohort,,16,In House,220808-16,HFD,220808_16,220808-16,APOE22HN,male,220808,8/8/22,18,1/23/21,38,10/6/22,20.4,20,1.68,,220808-16:1,,,,,,,HFD,18.73333333,,19
August22cohort,,17,In House,220808-17,HFD,220808_17,220808-17,APOE22HN,male,220808,8/8/22,18,1/23/21,46,10/6/22,20.4,20,1.68,,220808-17:1,,,,,,,HFD,18.73333333,,19
September2022cohort,,1,In House,220905-7,HFD,220905_1,220905-1,APOE44,male,220905,9/5/22,17,3/6/21,45,11/2/22,20.2,20,1.66,,220905-7:1,,,,,,,HFD,18.3,,18
September2022cohort,,2,In House,220905-8,HFD,220905_2,220905-2,APOE44,female,220905,9/5/22,17,3/6/21,37,11/2/22,20.2,20,1.66,,220905-8:1,,,,,,,HFD,18.3,,18
September2022cohort,,3,In House,220905-9,HFD,220905_3,220905-3,APOE44,male,220905,9/5/22,17,3/6/21,36,11/2/22,20.2,20,1.66,,220905-9:1,,,,,,,HFD,18.3,,18
September2022cohort,,4,In House,220905-10,Control,220905_10,220905-10,APOE22HN,male,220905,9/5/22,18,2/28/21,32,11/2/22,20.4,20,1.67,,220905-10:1,,,,,,,Control,18.5,,19
September2022cohort,,5,In House,220905-11,Control,220905_11,220905-11,APOE22HN,male,220905,9/5/22,18,2/28/21,32,11/2/22,20.4,20,1.67,,220905-11:1,,,,,,,Control,18.5,,19
September2022cohort,,6,In House,220905-12,Control,220905_12,220905-12,APOE22HN,male,220905,9/5/22,18,2/28/21,33,11/2/22,20.4,20,1.67,,220905-12:1,,,,,,,Control,18.5,,19
October2022cohort,,1,In House,221003-3,HFD,221003_1,221003-1,APOE22 ,female,221003,10/3/22,12,9/15/21,21,11/17/22,14.26666667,14,1.172222222,,221003-3:1,,,,,,,HFD,12.76666667,Found Already dead before perfusion,13
October2022cohort,,2,In House,221003-4,HFD,221003_2,221003-2,APOE22 ,female,221003,10/3/22,12,9/15/21,33,11/17/22,14.26666667,14,1.172222222,,221003-4:1,,,,,,,HFD,12.76666667,,13
October2022cohort,,3,In House,221003-5,HFD,221003_3,221003-3,APOE22 ,female,221003,10/3/22,12,9/15/21,38,11/17/22,14.26666667,14,1.172222222,,221003-5:1,,,,,,,HFD,12.76666667,,13
October2022cohort,,4,In House,221003-6,HFD,221003_4,221003-4,APOE22 ,female,221003,10/3/22,12,9/15/21,34,11/17/22,14.26666667,14,1.172222222,,221003-6:1,,,,,,,HFD,12.76666667,,13
October2022cohort,,5,In House,221003-7,HFD,221003_5,221003-5,APOE22 ,male,221003,10/3/22,12,9/30/21,47,11/17/22,13.76666667,14,1.130555556,,221003-7:1,,,,,,,HFD,12.26666667,,13
October2022cohort,,6,In House,221003-8,HFD,221003_6,221003-6,APOE22 ,male,221003,10/3/22,12,9/30/21,42,11/17/22,13.76666667,14,1.130555556,,221003-8:1,,,,,,,HFD,12.26666667,Died during in vivo scanning,13
October2022cohort,,7,In House,221003-9,HFD,221003_7,221003-7,APOE22 ,male,221003,10/3/22,12,9/15/21,44,11/17/22,14.26666667,14,1.172222222,,221003-9:1,,,,,,,HFD,12.76666667,,13
Died,,,In House,,HFD,210112_10,210112-10,APOE44HN,male,210112,1/12/21,8,4/21/20,,8/17/21,,,,,,,,,,,,HFD,11.7,,9
,,,In House,,Control,210112_13,210112-13,APOE44HN,female,210112,1/12/21,8,4/21/20,,8/17/21,,,,,,,,,,,,Control,11.7,,9
,,,In House,,Control,210201_1,210201-1,APOE33,female,210201,2/1/21,12,1/2/20,,6/9/21,,,,,,,,,,,,Control,13.2,,13
Died,,,In House,,Control,210503_10,210503-10,APOE33,female,210503,5/3/21,18,11/2/19,,,,,,,,,,,,,,Control,,,18
Died,,,In House,,Control,210809_1,210809-1,APOE33HN,female,210809,8/9/21,11,8/20/20,,11/10/21,,,,,,,,,,,,Control,11.8,,12
RNA,,,In House,,HFD,210906_19,210906-19,APOE44,male,210906,8/9/21,10,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667,,10
RNA,,,In House,,HFD,210906_20,210906-20,APOE44,male,210906,8/9/21,10,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667,,10
RNA,,,In House,,HFD,210906_21,210906-21,APOE44,male,210906,8/9/21,10,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667,,10
RNA,,,In House,,HFD,210906_22,210906-22,APOE44,male,210906,8/9/21,10,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.27,,10
RNA,,,In House,,Control,210906_23,210906-23,APOE44,female,210906,8/9/21,10,9/30/20,,1/6/22,,,,,,,,,,,,Control,11.37,,11
RNA,,,In House,,Control,210906_24,210906-24,APOE44,female,210906,8/9/21,10,9/30/20,,1/6/22,,,,,,,,,,,,Control,11.37,,11
Died,,,In House,,HFD,220207_18,220207-18,APOE33HN,female,220207,2/7/22,17,8/10/20,,,,,,,,,,,,,,HFD,18.43,,18
Died,,,In House,,Control,220404_12,220404-12,APOE22HN,male,220404,4/4/22,18,9/24/20,,,,,,,,,,,,,,Control,18.8,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
